"n_cells_used","n_progenitor","n_mature","spearman_dpt_vs_reference","over_smoothing_flag","status","error_msg","source","method","file_path","null_5pct","null_95pct","over_smoothing_flag_calibrated"
1802,245,1557,0.48497484445471,TRUE,"ok",NA,"muraro","pca_raw","data/processed/pca_raw/real/muraro/muraro_harmonized_rawpca.rds",-0.0394972405097428,0.0374109356284056,FALSE
1802,245,1557,0.579504406667289,TRUE,"ok",NA,"muraro","pca_libnorm","data/processed/pca_libnorm/real/muraro/muraro_harmonized_libnormpca.rds",-0.0382418159626932,0.0389541102668764,FALSE
1802,245,1557,0.54864713888633,TRUE,"ok",NA,"muraro","pca_log","data/processed/pca_log/real/muraro/muraro_harmonized_logpca.rds",-0.0381059555896209,0.0382818115135289,FALSE
1802,245,1557,0.548622238932502,TRUE,"ok",NA,"muraro","pca_shiftedlog","data/processed/pca_shiftedlog/real/muraro/muraro_harmonized_shiftedlogpca.rds",-0.0401267424674489,0.0372101797506699,FALSE
1802,245,1557,0.364300330723062,TRUE,"ok",NA,"muraro","pca_sctransform_v2","data/processed/pca_sctransform_v2/real/muraro/muraro_harmonized_sctpca.rds",-0.0373300107784656,0.037278654623696,FALSE
1802,245,1557,0.59046038635147,TRUE,"ok",NA,"muraro","pca_glmpca","data/processed/pca_glmpca/real/muraro/muraro_harmonized_glmpca.rds",-0.0380030876553702,0.0393559332717707,FALSE
6802,1077,5725,0.562911437377886,TRUE,"ok",NA,"baron","pca_raw","data/processed/pca_raw/real/baron/baron_harmonized_rawpca.rds",-0.0204698685295149,0.0197565323950232,FALSE
6802,1077,5725,0.608042938188656,FALSE,"ok",NA,"baron","pca_libnorm","data/processed/pca_libnorm/real/baron/baron_harmonized_libnormpca.rds",-0.0195499386173968,0.0187956857166622,FALSE
6802,1077,5725,0.632213159081852,FALSE,"ok",NA,"baron","pca_log","data/processed/pca_log/real/baron/baron_harmonized_logpca.rds",-0.0204768828322994,0.0199153181615658,FALSE
6802,1077,5725,0.632163525711271,FALSE,"ok",NA,"baron","pca_shiftedlog","data/processed/pca_shiftedlog/real/baron/baron_harmonized_shiftedlogpca.rds",-0.0189355410695495,0.0205520917454887,FALSE
6802,1077,5725,0.416496685904155,TRUE,"ok",NA,"baron","pca_sctransform_v2","data/processed/pca_sctransform_v2/real/baron/baron_harmonized_sctpca.rds",-0.0196625058712936,0.0205978385360174,FALSE
6802,1077,5725,0.176569998001598,TRUE,"ok",NA,"baron","pca_glmpca","data/processed/pca_glmpca/real/baron/baron_harmonized_glmpca.rds",-0.0207470462926174,0.020142165225741,FALSE
1860,386,1474,0.626709561039771,FALSE,"ok",NA,"segerstolpe","pca_raw","data/processed/pca_raw/real/segerstolpe/segerstolpe_harmonized_rawpca.rds",-0.0395001118360359,0.0382091528055712,FALSE
1860,386,1474,0.69773020855299,FALSE,"ok",NA,"segerstolpe","pca_libnorm","data/processed/pca_libnorm/real/segerstolpe/segerstolpe_harmonized_libnormpca.rds",-0.037218434031594,0.0377950879123725,FALSE
1860,386,1474,0.702409117155325,FALSE,"ok",NA,"segerstolpe","pca_log","data/processed/pca_log/real/segerstolpe/segerstolpe_harmonized_logpca.rds",-0.03819384450302,0.0373870722677626,FALSE
1860,386,1474,0.702409117155325,FALSE,"ok",NA,"segerstolpe","pca_shiftedlog","data/processed/pca_shiftedlog/real/segerstolpe/segerstolpe_harmonized_shiftedlogpca.rds",-0.0395885049378637,0.0371795460049519,FALSE
1860,386,1474,0.64884981087467,FALSE,"ok",NA,"segerstolpe","pca_sctransform_v2","data/processed/pca_sctransform_v2/real/segerstolpe/segerstolpe_harmonized_sctpca.rds",-0.0388221021778823,0.038212979881209,FALSE
1860,386,1474,0.550190270013411,TRUE,"ok",NA,"segerstolpe","pca_glmpca","data/processed/pca_glmpca/real/segerstolpe/segerstolpe_harmonized_glmpca.rds",-0.0393123382216784,0.0376515108489289,FALSE
