"n_cells","k_used","null_mean","null_median","null_95pct","null_99pct","null_max"
200,15,0.07508,0.0746666666666667,0.0933333333333333,0.09868,0.101333333333333
1000,15,0.0151133333333333,0.0146666666666667,0.0226666666666667,0.0253333333333333,0.0266666666666667
1485,15,0.01028,0.0106666666666667,0.0173333333333333,0.0200266666666666,0.0226666666666667
2009,15,0.00757333333333333,0.008,0.0133333333333333,0.0146933333333333,0.0226666666666667
2403,15,0.00634666666666667,0.00533333333333333,0.0106666666666667,0.0133333333333333,0.0146666666666667
2695,15,0.00567333333333333,0.00533333333333333,0.0106666666666667,0.012,0.0133333333333333
2929,15,0.00512,0.00533333333333333,0.00933333333333333,0.0106666666666667,0.012
5000,15,0.00305333333333333,0.00266666666666667,0.00666666666666667,0.008,0.00933333333333333
8569,15,0.00173333333333333,0.00133333333333333,0.004,0.00666666666666667,0.00666666666666667
20562,15,0.00074,0,0.00266666666666667,0.004,0.004
65690,15,0.000193333333333333,0,0.00133333333333333,0.00133333333333333,0.00266666666666667
